Population Size,1,2,3,4
4,0.10687472398056823,0.0803541781959048,0.06418530633896206,0.05335097001763668
5,0.08700335088559119,0.06460499422376255,0.05129833474456675,0.04245255474452555
6,0.07332324760463944,0.05224202356999137,0.04057825407457021,0.03318422494066094
