Population Size,25,50,100,250,500,750,1000
25,2.407,2.904,3.92,6.763,11.31,15.437,20.816
50,4.444,5.335,7.2,13.041,23.827,34.285,43.149
100,8.731,10.616,14.574,27.527,55.353,77.908,104.088
250,21.672,25.443,34.078,63.571,108.498,155.28,201.704
500,42.041,51.174,70.857,128.572,221.796,318.143,425.141
750,64.132,79.389,109.201,201.099,349.669,498.088,640.904
1000,84.003,105.607,142.501,258.656,433.575,607.638,842.349
