,num_fixes,runtimes,nodes_checked
0,1,0.002901792526245117,21.5
1,2,0.1614687442779541,231.0
2,3,0.9493610858917236,1351.5
3,4,2.301566203435262,1880.0
4,5,2.3512935638427734,2462.5
5,6,2.392048406600952,3209.0
