Population Size,1,2,3
25,0.303156146179402,0.3014037985136251,0.29844644317252655
50,0.16561229100768188,0.1653983885407341,0.16231178033658103
75,0.11372427665170973,0.11271277411439963,0.11298405466970388
100,0.0865826363529273,0.08572428271518544,0.08481421647819062
200,0.04431599229287091,0.043874813710879285,0.04342695303280623
300,0.03001375293261063,0.029712089056180675,0.02954960679958694
