,25,50,100,250,500,750,1000
25,1.013,1.629,2.868,6.65,12.945,19.199,27.398
50,2.0,3.518,6.652,14.251,26.918,38.484,49.476
100,2.586,4.797,9.197,22.008,44.17,62.746,80.397
250,5.344,10.262,20.281,50.382,100.687,149.876,200.631
500,10.358,20.255,40.158,100.088,199.823,299.454,399.392
750,15.431,30.301,60.279,149.831,299.364,479.584,734.62
1000,27.021,52.473,103.883,259.119,516.816,736.637,1224.098
