Population Size,25,50,100,250,500,750,1000
25,4.905,5.876,7.839,13.917,23.79,32.508,43.733
50,9.446,11.407,15.363,27.447,46.205,64.66,84.052
100,18.182,22.374,30.695,53.091,90.675,129.66,173.138
250,45.394,54.847,74.678,131.159,226.794,325.197,423.006
500,89.229,110.034,144.975,265.649,456.219,637.324,833.624
750,135.532,161.366,221.284,398.505,680.846,968.06,1256.037
1000,178.81,216.183,292.928,523.519,907.591,1294.064,1673.805
