GA Iterations,iterations,avg_eval_score,runtimes
0,0,0.7271448911902897,28.892564713954926
1,1,0.7271448911902897,32.78378748893738
2,2,0.7278233482336662,36.71835118532181
3,3,0.7280590296029882,40.67835259437561
4,4,0.7280590296029882,44.579941153526306
5,5,0.7280590296029882,48.73868250846863
6,6,0.7284962785006548,53.31182938814163
7,7,0.7284962785006548,57.384090185165405
8,8,0.7292002336104555,61.64564782381058
9,9,0.7293236700818182,65.68104988336563
